sp;BodyMass.Value;Nocturnal;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;PelagicSpecialist;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2
Formicivora_iheringi;8.2;0;0;0;30;30;40;0;0;0;NA;NA;312009580.2
Furnarius_rufus;46.42;0;0;0;70;30;0;0;0;0;3.2;NA;6.18167E+12
Geositta_cunicularia;28.5;0;0;0;100;0;0;0;0;0;2.4;NA;2.9123E+12
Herpsilochmus_sellowi;7.5;0;0;0;0;30;70;0;0;0;2;NA;9.92626E+11
Herpsilochmus_sellowi;7.5;0;0;0;0;30;70;0;0;0;2;NA;3160236107
Hemitriccus_obsoletus;11.6;0;0;0;0;80;20;0;0;0;2;NA;2.62927E+11
Hemitriccus_diops;10;0;0;0;0;100;0;0;0;0;2;NA;7.37337E+11
Hemitriccus_furcatus;8.64;0;0;0;0;50;50;0;0;0;1;NA;2220151026
Hemitriccus_furcatus;8.64;0;0;0;0;50;50;0;0;0;1;NA;3696189890
Hemitriccus_furcatus;8.64;0;0;0;0;50;50;0;0;0;1;NA;49420564195
Hemitriccus_furcatus;8.64;0;0;0;0;50;50;0;0;0;1;NA;5342819503
Herpsilochmus_atricapillus;9.85;0;0;0;0;0;100;0;0;0;NA;NA;3.73187E+12
Hemitriccus_kaempferi;8.64;0;0;0;0;80;20;0;0;0;NA;NA;78212666.75
Hemitriccus_kaempferi;8.64;0;0;0;0;80;20;0;0;0;NA;NA;7847656951
Hemitriccus_kaempferi;8.64;0;0;0;0;80;20;0;0;0;NA;NA;18853576.45
Hemitriccus_nidipendulus;7.5;0;0;0;0;80;20;0;0;0;2;NA;5.42186E+11
Poospiza_thoracica;NA;NA;0;0;90;10;0;0;0;0;NA;NA;NA
Hylopezus_nattereri;32;0;0;0;100;0;0;0;0;0;NA;NA;4.94038E+11
Hylopezus_ochroleucus;28;0;0;0;100;0;0;0;0;0;2;NA;5.45869E+11
Pachysylvia_muscicapina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.38668E+12
Hymenops_perspicillatus;22.9;0;0;0;100;0;0;0;0;0;2.8;NA;1.12425E+12
Hymenops_perspicillatus;22.9;0;0;0;100;0;0;0;0;0;2.8;NA;2.68328E+12
Larus_cirrocephalus;374.69;0;20;40;40;0;0;0;0;0;3;NA;1.32758E+12
Larus_cirrocephalus;374.69;0;20;40;40;0;0;0;0;0;3;NA;5.07464E+12
Larus_maculipennis;339;0;0;20;60;20;0;0;0;0;2.5;NA;2.28289E+11
Laterallus_leucopyrrhus;45.5;0;0;0;100;0;0;0;0;0;2.7;NA;8.82129E+11
Laterallus_melanophaius;52.1;0;0;50;50;0;0;0;0;0;2.4;NA;1.01603E+13
Laterallus_xenopterus;56.9;0;0;30;70;0;0;0;0;0;NA;NA;40747300631
Laterallus_xenopterus;56.9;0;0;30;70;0;0;0;0;0;NA;NA;6139321067
Laterallus_xenopterus;56.9;0;0;30;70;0;0;0;0;0;NA;NA;1.65668E+12
Leptotila_rufaxilla;157;0;0;0;100;0;0;0;0;0;1.7;NA;1.16682E+13
Leucochloris_albicollis;6.3;0;0;0;0;30;60;10;0;0;2;NA;2.17708E+12
Limosa_haemastica;253.29;0;0;50;50;0;0;0;0;0;3.95;1;1.30075E+12
Lophornis_magnificus;2.7;0;0;0;0;50;50;0;0;0;2;NA;2.55726E+12
Myrmoderus_loricatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1.7796E+11
Rhopias_gularis;8.7;0;0;0;0;80;20;0;0;0;2;NA;5.00928E+11
Stigmatura_bahiae;9.77;0;0;0;0;80;20;0;0;0;2.5;NA;5.72168E+11
Pseudopipra_pipra;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;4.94339E+12
Ceratopipra_rubrocapilla;12;0;0;0;0;50;50;0;0;0;2;NA;3.39182E+12
Philohydor_lictor;25.5;0;0;0;10;70;20;0;0;0;2.7;NA;2.735E+11
Philohydor_lictor;25.5;0;0;0;10;70;20;0;0;0;2.7;NA;8.91258E+12
Mesembrinibis_cayennensis;756;0;0;40;60;0;0;0;0;0;2.5;NA;1.05767E+13
Microspingus_lateralis;NA;NA;0;0;100;0;0;0;0;0;NA;NA;57392653157
Microspingus_melanoleucus;NA;NA;0;0;20;50;30;0;0;0;3.5;NA;1.48267E+12
Sporophila_nigricollis;NA;NA;0;0;30;70;0;0;0;0;2.25;2;7.14212E+12
Tangara_ornata;33;0;0;0;10;10;20;60;0;0;3;NA;3.92892E+11
Tangara_sayaca;32.49;0;0;0;10;0;20;70;0;0;2.5;NA;6.56634E+12
Notharchus_swainsoni;60.72;0;0;0;33;33;33;0;0;0;3.5;NA;9.27746E+11
Xenops_rutilans;11.2;0;0;0;0;20;80;0;0;0;2.5;NA;NA
Hydropsalis_forcipata;139;1;0;0;0;20;70;10;0;0;2;NA;NA
Megascops_choliba;132;1;0;0;40;50;0;0;10;0;2;NA;1.30126E+13
Megascops_atricapilla;118.89;1;0;0;10;10;20;60;0;0;2.5;NA;9.90151E+11
Megascops_sanctaecatarinae;179.72;1;0;0;50;50;0;0;0;0;2;NA;4.18334E+11
Melanerpes_flavifrons;57.78;0;0;0;0;50;50;0;0;0;3;NA;1.5578E+12
Melanerpes_candidus;108;0;0;0;0;50;50;0;0;0;3.5;NA;5.53605E+12
Systellura_longirostris;45.6;1;0;0;0;50;40;0;10;0;1.5;NA;9.24438E+11
Systellura_longirostris;45.6;1;0;0;0;50;40;0;10;0;1.5;NA;3.37211E+12
Mitu_mitu;2850.47;0;0;0;100;0;0;0;0;0;2.5;NA;310414407.8
Neocrex_erythrops;58.3;0;0;20;80;0;0;0;0;0;5.8;NA;3.05965E+12
Neomorphus_geoffroyi;355.03;0;0;0;100;0;0;0;0;0;1;NA;2.9179E+12
Micrastur_mintoni;209.5;0;0;0;0;100;0;0;0;0;NA;NA;1.88234E+12
Micrastur_mirandollei;548.99;0;0;0;0;50;50;0;0;0;NA;NA;5.26989E+12
Micrastur_semitorquatus;621.68;0;0;0;50;30;20;0;0;0;2.7;NA;1.20544E+13
Micropygia_schomburgkii;31.2;0;0;0;60;40;0;0;0;0;2;NA;3.01052E+12
Milvago_chimachima;315.21;0;0;0;100;0;0;0;0;0;2;NA;1.36236E+13
Momotus_momota;114.96;0;0;0;30;30;30;10;0;0;3.5;1;8.09606E+12
Monasa_morphoeus;87.9;0;0;0;33;33;33;0;0;0;2.5;1;5.20999E+12
Monasa_nigrifrons;80.7;0;0;0;40;40;20;0;0;0;3;NA;7.02166E+12
Nomonyx_dominicus;364.97;0;100;0;0;0;0;0;0;0;5;1;6.32754E+12
Nomonyx_dominicus;364.97;0;100;0;0;0;0;0;0;0;5;1;1.44346E+12
Nonnula_rubecula;18.4;0;0;0;50;50;0;0;0;0;2.5;NA;5.4385E+12
Nothura_boraquira;283;0;0;0;100;0;0;0;0;0;4;NA;1.34829E+12
Numenius_borealis;350.11;0;0;0;80;20;0;0;0;0;3.43;NA;1.74457E+12
Nyctibius_aethereus;440.45;1;0;0;0;0;80;20;0;0;1;NA;4.97511E+12
Nyctibius_leucopterus;86.4;1;0;0;0;0;90;0;10;0;1;NA;2.90897E+12
Nyctibius_leucopterus;86.4;1;0;0;0;0;90;0;10;0;1;NA;4.15761E+11
Nyctipolus_hirundinaceus;57.51;1;0;0;0;20;20;0;60;0;1;NA;6.77664E+11
Nystalus_chacuru;52.3;0;0;0;33;33;33;0;0;0;2.8;NA;4.32943E+12
Nystalus_maculatus;42;0;0;0;33;33;33;0;0;0;2.4;NA;3.64234E+12
Odontophorus_capueira;425.4;0;0;0;100;0;0;0;0;0;5;NA;1.72477E+12
Ortalis_canicollis;539;0;0;0;20;0;40;40;0;0;4;NA;1.17176E+12
Oxyura_vittata;642.68;0;100;0;0;0;0;0;0;0;4;1;1.15213E+12
Oxyura_vittata;642.68;0;100;0;0;0;0;0;0;0;4;1;1.98691E+12
Pardirallus_nigricans;217;0;0;60;40;0;0;0;0;0;3;NA;3.25486E+12
Pardirallus_sanguinolentus;232;0;0;20;80;0;0;0;0;0;4.95;NA;4.58002E+12
Porphyrio_flavirostris;92.64;0;0;20;60;20;0;0;0;0;4.5;NA;5.27004E+12
Patagioenas_maculosa;347;0;0;0;80;20;0;0;0;0;1.4;NA;3.65968E+12
Penelope_superciliaris;894.99;0;0;0;33;0;33;33;0;0;3;NA;5.61442E+12
Patagioenas_picazuro;279;0;0;0;30;30;30;10;0;0;1;NA;5.82872E+12
Patagioenas_plumbea;178.77;0;0;0;0;0;30;70;0;0;1;NA;6.56487E+12
Patagioenas_speciosa;258.47;0;0;0;30;20;30;20;0;0;1;NA;7.37028E+11
Patagioenas_speciosa;258.47;0;0;0;30;20;30;20;0;0;1;NA;2.00241E+12
Vanellus_chilensis;327;0;0;20;80;0;0;0;0;0;4;NA;1.33218E+13
Penelope_obscura;1770;0;0;0;30;30;30;10;0;0;3;NA;1.0128E+12
Penelope_jacucaca;1282;0;0;0;20;0;40;40;0;0;2.5;NA;6.17594E+11
